sdate,variable,value,sign_if_LT_LOD,flag
28-Jan-47,TEMP,3.5,,1
08-Feb-47,TEMP,0,,1
11-Feb-47,TEMP,3.02,,1
15-Feb-47,TEMP,3.04,,1
20-Feb-47,TEMP,0.5,,1
26-Feb-47,TEMP,0.52,,1
27-Feb-47,TEMP,0,,1
03-Mar-47,TEMP,0.48,,1
10-Mar-47,TEMP,0.44,,1
19-Mar-47,TEMP,0.45,,1
20-Mar-47,TEMP,0.2,,1
22-Mar-47,TEMP,0.7,,1
23-Mar-47,TEMP,0.65,,1
25-Mar-47,TEMP,2.78,,1
29-Mar-47,TEMP,3.62,,1
31-Mar-47,TEMP,4.2,,1
04-Apr-47,TEMP,4.5,,1
08-Apr-47,TEMP,5.2,,1
14-Apr-47,TEMP,7.3,,1
23-Apr-47,TEMP,7.78,,1
29-Apr-47,TEMP,7.95,,1
06-May-47,TEMP,8.5,,1
13-May-47,TEMP,13.2,,1
20-May-47,TEMP,13.35,,1
27-May-47,TEMP,15.5,,1
28-May-47,TEMP,16.8,,1
31-May-47,TEMP,23,,1
03-Jun-47,TEMP,22.1,,1
05-Jun-47,TEMP,20.35,,1
07-Jun-47,TEMP,16.59,,1
10-Jun-47,TEMP,14.8,,1
19-Jun-47,TEMP,16.2,,1
27-Jun-47,TEMP,18.2,,1
30-Jun-47,TEMP,18.6,,1
11-Jul-47,TEMP,15.6,,1
17-Jul-47,TEMP,18.35,,1
23-Jul-47,TEMP,17.8,,1
30-Jul-47,TEMP,19.2,,1
05-Aug-47,TEMP,19.65,,1
13-Aug-47,TEMP,21.65,,1
19-Aug-47,TEMP,23.35,,1
27-Aug-47,TEMP,21.3,,1
03-Sep-47,TEMP,20.3,,1
08-Sep-47,TEMP,18.7,,1
10-Sep-47,TEMP,16.9,,1
15-Sep-47,TEMP,16.4,,1
23-Sep-47,TEMP,15.3,,1
30-Sep-47,TEMP,13.65,,1
08-Oct-47,TEMP,13.15,,1
13-Oct-47,TEMP,13.65,,1
22-Oct-47,TEMP,11.6,,1
30-Oct-47,TEMP,10,,1
05-Nov-47,TEMP,9.6,,1
13-Nov-47,TEMP,10.5,,1
19-Nov-47,TEMP,7.14,,1
26-Nov-47,TEMP,7.55,,1
03-Dec-47,TEMP,4.83,,1
10-Dec-47,TEMP,4.5,,1
16-Dec-47,TEMP,4.8,,1
30-Dec-47,TEMP,4.7,,1
13-Jan-48,TEMP,5.1,,1
21-Jan-48,TEMP,3.6,,1
28-Jan-48,TEMP,3.6,,1
04-Feb-48,TEMP,4.9,,1
12-Feb-48,TEMP,5.55,,1
18-Feb-48,TEMP,5.35,,1
23-Feb-48,TEMP,3.8,,1
25-Feb-48,TEMP,3.72,,1
02-Mar-48,TEMP,3.3,,1
08-Mar-48,TEMP,4.8,,1
15-Mar-48,TEMP,6.4,,1
17-Mar-48,TEMP,6.2,,1
23-Mar-48,TEMP,7.3,,1
24-Mar-48,TEMP,7.05,,1
25-Mar-48,TEMP,7.7,,1
29-Mar-48,TEMP,8.1,,1
01-Apr-48,TEMP,7.25,,1
05-Apr-48,TEMP,7.75,,1
08-Apr-48,TEMP,7.15,,1
12-Apr-48,TEMP,8.15,,1
16-Apr-48,TEMP,10.5,,1
19-Apr-48,TEMP,11.85,,1
23-Apr-48,TEMP,11.2,,1
26-Apr-48,TEMP,12,,1
28-Apr-48,TEMP,11.5,,1
29-Apr-48,TEMP,11.25,,1
03-May-48,TEMP,10.8,,1
07-May-48,TEMP,10.3,,1
10-May-48,TEMP,14.1,,1
12-May-48,TEMP,16.4,,1
14-May-48,TEMP,15.1,,1
18-May-48,TEMP,18.9,,1
21-May-48,TEMP,17.2,,1
24-May-48,TEMP,15.8,,1
28-May-48,TEMP,15.6,,1
31-May-48,TEMP,14.95,,1
04-Jun-48,TEMP,13.7,,1
09-Jun-48,TEMP,13.6,,1
15-Jun-48,TEMP,18.4,,1
16-Jun-48,TEMP,16.9,,1
22-Jun-48,TEMP,14.8,,1
28-Jun-48,TEMP,15.6,,1
05-Jul-48,TEMP,14.5,,1
15-Jul-48,TEMP,15.3,,1
22-Jul-48,TEMP,15.9,,1
28-Jul-48,TEMP,22.6,,1
05-Aug-48,TEMP,19.9,,1
12-Aug-48,TEMP,16.6,,1
19-Aug-48,TEMP,15.9,,1
26-Aug-48,TEMP,14.7,,1
31-Aug-48,TEMP,15.6,,1
09-Sep-48,TEMP,15,,1
16-Sep-48,TEMP,13,,1
22-Sep-48,TEMP,12.3,,1
30-Sep-48,TEMP,13,,1
06-Oct-48,TEMP,12.5,,1
13-Oct-48,TEMP,12.1,,1
21-Oct-48,TEMP,10.9,,1
28-Oct-48,TEMP,10.1,,1
05-Nov-48,TEMP,9.5,,1
09-Nov-48,TEMP,8.2,,1
18-Nov-48,TEMP,9.3,,1
24-Nov-48,TEMP,7.8,,1
01-Dec-48,TEMP,6.4,,1
09-Dec-48,TEMP,6.8,,1
16-Dec-48,TEMP,6.85,,1
21-Dec-48,TEMP,5.8,,1
30-Dec-48,TEMP,4.1,,1
07-Jan-49,TEMP,4.2,,1
13-Jan-49,TEMP,4.2,,1
19-Jan-49,TEMP,6,,1
26-Jan-49,TEMP,5.1,,1
02-Feb-49,TEMP,4.7,,1
09-Feb-49,TEMP,4.1,,1
16-Feb-49,TEMP,5.4,,1
21-Feb-49,TEMP,5.9,,1
28-Feb-49,TEMP,6,,1
15-Mar-49,TEMP,6,,1
23-Mar-49,TEMP,7.4,,1
29-Mar-49,TEMP,7.3,,1
05-Apr-49,TEMP,8.1,,1
16-Apr-49,TEMP,8.4,,1
19-Apr-49,TEMP,10.7,,1
22-Apr-49,TEMP,10,,1
25-Apr-49,TEMP,10.1,,1
27-Apr-49,TEMP,10.6,,1
04-May-49,TEMP,14.5,,1
09-May-49,TEMP,13.4,,1
16-May-49,TEMP,16.3,,1
30-May-49,TEMP,14.3,,1
09-Jun-49,TEMP,15.4,,1
13-Jun-49,TEMP,18.1,,1
20-Jun-49,TEMP,21,,1
27-Jun-49,TEMP,22.7,,1
04-Jul-49,TEMP,22.6,,1
11-Jul-49,TEMP,22.9,,1
19-Jul-49,TEMP,17.5,,1
25-Jul-49,TEMP,21,,1
02-Aug-49,TEMP,17.7,,1
08-Aug-49,TEMP,16.2,,1
15-Aug-49,TEMP,17.6,,1
22-Aug-49,TEMP,21.3,,1
29-Aug-49,TEMP,20.2,,1
12-Sep-49,TEMP,17.8,,1
19-Sep-49,TEMP,16.6,,1
03-Oct-49,TEMP,15.2,,1
17-Oct-49,TEMP,14.6,,1
25-Oct-49,TEMP,10.8,,1
31-Oct-49,TEMP,9.2,,1
08-Nov-49,TEMP,8.6,,1
14-Nov-49,TEMP,7.6,,1
21-Nov-49,TEMP,7.1,,1
29-Nov-49,TEMP,6.7,,1
05-Dec-49,TEMP,6.6,,1
12-Dec-49,TEMP,5.1,,1
19-Dec-49,TEMP,5.5,,1
28-Dec-49,TEMP,6.1,,1
02-Jan-50,TEMP,6.1,,1
09-Jan-50,TEMP,7,,1
17-Jan-50,TEMP,6.3,,1
24-Jan-50,TEMP,4,,1
14-Feb-50,TEMP,3.75,,1
20-Feb-50,TEMP,5.8,,1
27-Feb-50,TEMP,4.8,,1
06-Mar-50,TEMP,5.9,,1
20-Mar-50,TEMP,6.8,,1
27-Mar-50,TEMP,9.2,,1
03-Apr-50,TEMP,7.9,,1
11-Apr-50,TEMP,7.65,,1
17-Apr-50,TEMP,8.2,,1
24-Apr-50,TEMP,9.55,,1
01-May-50,TEMP,9.1,,1
08-May-50,TEMP,10.35,,1
15-May-50,TEMP,14.85,,1
22-May-50,TEMP,13.6,,1
30-May-50,TEMP,13.48,,1
05-Jun-50,TEMP,20.35,,1
12-Jun-50,TEMP,21.55,,1
19-Jun-50,TEMP,16.21,,1
26-Jun-50,TEMP,17.26,,1
03-Jul-50,TEMP,16.67,,1
10-Jul-50,TEMP,17.51,,1
19-Jul-50,TEMP,16.56,,1
24-Jul-50,TEMP,17.85,,1
31-Jul-50,TEMP,17.3,,1
14-Aug-50,TEMP,16.56,,1
21-Aug-50,TEMP,14.89,,1
28-Aug-50,TEMP,15,,1
04-Sep-50,TEMP,13.9,,1
18-Sep-50,TEMP,11.1,,1
25-Sep-50,TEMP,11.1,,1
02-Oct-50,TEMP,10.3,,1
09-Oct-50,TEMP,10.6,,1
16-Oct-50,TEMP,10.4,,1
23-Oct-50,TEMP,10.7,,1
30-Oct-50,TEMP,8.8,,1
06-Nov-50,TEMP,8,,1
14-Nov-50,TEMP,7.3,,1
20-Nov-50,TEMP,6.6,,1
27-Nov-50,TEMP,5.6,,1
05-Dec-50,TEMP,4,,1
12-Dec-50,TEMP,4.2,,1
18-Jan-51,TEMP,3.95,,1
24-Jan-51,TEMP,4.5,,1
05-Feb-51,TEMP,3.8,,1
12-Feb-51,TEMP,3.7,,1
26-Feb-51,TEMP,3.2,,1
07-Mar-51,TEMP,4,,1
14-Mar-51,TEMP,4,,1
19-Mar-51,TEMP,4.4,,1
26-Mar-51,TEMP,4.9,,1
02-Apr-51,TEMP,5.2,,1
16-Apr-51,TEMP,6.6,,1
24-Apr-51,TEMP,8.25,,1
30-Apr-51,TEMP,8.17,,1
07-May-51,TEMP,8.15,,1
15-May-51,TEMP,12.4,,1
21-May-51,TEMP,13.2,,1
28-May-51,TEMP,12.85,,1
04-Jun-51,TEMP,17.4,,1
11-Jun-51,TEMP,16.2,,1
18-Jun-51,TEMP,16.45,,1
25-Jun-51,TEMP,18.45,,1
01-Jul-51,TEMP,20,,1
09-Jul-51,TEMP,18.2,,1
16-Jul-51,TEMP,18.5,,1
24-Jul-51,TEMP,19.7,,1
30-Jul-51,TEMP,19.8,,1
06-Aug-51,TEMP,19.55,,1
20-Aug-51,TEMP,17.05,,1
28-Aug-51,TEMP,15.4,,1
03-Sep-51,TEMP,15.75,,1
10-Sep-51,TEMP,15.6,,1
24-Sep-51,TEMP,13.25,,1
01-Oct-51,TEMP,13.5,,1
08-Oct-51,TEMP,12.9,,1
15-Oct-51,TEMP,12.3,,1
22-Oct-51,TEMP,10.85,,1
30-Oct-51,TEMP,9.65,,1
05-Nov-51,TEMP,8.95,,1
12-Nov-51,TEMP,8.8,,1
19-Nov-51,TEMP,8.4,,1
26-Nov-51,TEMP,7.1,,1
03-Dec-51,TEMP,6.3,,1
18-Dec-51,TEMP,6.6,,1
26-Dec-51,TEMP,5.1,,1
31-Dec-51,TEMP,3.9,,1
07-Jan-52,TEMP,5.3,,1
14-Jan-52,TEMP,4,,1
28-Jan-52,TEMP,0,,1
04-Feb-52,TEMP,1.9,,1
25-Feb-52,TEMP,4.96,,1
03-Mar-52,TEMP,5.4,,1
17-Mar-52,TEMP,6.35,,1
24-Mar-52,TEMP,6.85,,1
31-Mar-52,TEMP,5,,1
07-Apr-52,TEMP,6,,1
15-Apr-52,TEMP,10.37,,1
21-Apr-52,TEMP,10.55,,1
28-Apr-52,TEMP,11.2,,1
05-May-52,TEMP,12.2,,1
12-May-52,TEMP,11.65,,1
19-May-52,TEMP,19.14,,1
26-May-52,TEMP,18.9,,1
03-Jun-52,TEMP,15.15,,1
09-Jun-52,TEMP,16.59,,1
16-Jun-52,TEMP,17.75,,1
23-Jun-52,TEMP,15.84,,1
30-Jun-52,TEMP,18.3,,1
07-Jul-52,TEMP,21.48,,1
21-Jul-52,TEMP,17.75,,1
28-Jul-52,TEMP,19.2,,1
05-Aug-52,TEMP,17.7,,1
11-Aug-52,TEMP,15.77,,1
18-Aug-52,TEMP,16.1,,1
25-Aug-52,TEMP,17.8,,1
01-Sep-52,TEMP,16.54,,1
08-Sep-52,TEMP,15,,1
15-Sep-52,TEMP,12.67,,1
22-Sep-52,TEMP,12,,1
29-Sep-52,TEMP,11,,1
06-Oct-52,TEMP,10.4,,1
13-Oct-52,TEMP,9.6,,1
28-Oct-52,TEMP,7.7,,1
03-Nov-52,TEMP,8.8,,1
10-Nov-52,TEMP,8,,1
17-Nov-52,TEMP,6.4,,1
24-Nov-52,TEMP,4.9,,1
15-Dec-52,TEMP,2.7,,1
29-Dec-52,TEMP,3.4,,1
13-Feb-53,TEMP,2.8,,1
02-Mar-53,TEMP,5.34,,1
09-Mar-53,TEMP,5.25,,1
16-Mar-53,TEMP,6.4,,1
23-Mar-53,TEMP,6.25,,1
30-Mar-53,TEMP,6.75,,1
06-Apr-53,TEMP,6.82,,1
13-Apr-53,TEMP,7.7,,1
20-Apr-53,TEMP,8.5,,1
27-Apr-53,TEMP,9,,1
04-May-53,TEMP,12.95,,1
11-May-53,TEMP,14.77,,1
18-May-53,TEMP,12.95,,1
25-May-53,TEMP,15.65,,1
01-Jun-53,TEMP,15,,1
08-Jun-53,TEMP,16.16,,1
15-Jun-53,TEMP,17.4,,1
22-Jun-53,TEMP,16.5,,1
29-Jun-53,TEMP,20.7,,1
06-Jul-53,TEMP,19.6,,1
13-Jul-53,TEMP,17.5,,1
27-Jul-53,TEMP,15.1,,1
04-Aug-53,TEMP,17.7,,1
10-Aug-53,TEMP,18.85,,1
17-Aug-53,TEMP,18,,1
24-Aug-53,TEMP,15.77,,1
31-Aug-53,TEMP,14.55,,1
07-Sep-53,TEMP,15.55,,1
15-Sep-53,TEMP,14.08,,1
21-Sep-53,TEMP,13.6,,1
29-Sep-53,TEMP,12.32,,1
05-Oct-53,TEMP,12.5,,1
12-Oct-53,TEMP,12.75,,1
19-Oct-53,TEMP,11.14,,1
26-Oct-53,TEMP,10.4,,1
02-Nov-53,TEMP,9.17,,1
09-Nov-53,TEMP,8.57,,1
16-Nov-53,TEMP,9.1,,1
23-Nov-53,TEMP,8.92,,1
07-Dec-53,TEMP,8.2,,1
14-Dec-53,TEMP,7,,1
21-Dec-53,TEMP,6.8,,1
28-Dec-53,TEMP,6,,1
04-Jan-54,TEMP,4.8,,1
11-Jan-54,TEMP,4,,1
18-Jan-54,TEMP,4.5,,1
25-Jan-54,TEMP,4.1,,1
01-Feb-54,TEMP,2.3,,1
23-Feb-54,TEMP,4.1,,1
08-Mar-54,TEMP,3.5,,1
15-Mar-54,TEMP,4.5,,1
22-Mar-54,TEMP,5.9,,1
29-Mar-54,TEMP,6.5,,1
05-Apr-54,TEMP,7.03,,1
12-Apr-54,TEMP,8.45,,1
19-Apr-54,TEMP,11.27,,1
26-Apr-54,TEMP,9.1,,1
03-May-54,TEMP,8.8,,1
10-May-54,TEMP,11.2,,1
21-May-54,TEMP,14.82,,1
24-May-54,TEMP,13.31,,1
31-May-54,TEMP,17.36,,1
08-Jun-54,TEMP,17.8,,1
15-Jun-54,TEMP,17.04,,1
23-Jun-54,TEMP,15.9,,1
28-Jun-54,TEMP,14.9,,1
06-Jul-54,TEMP,17,,1
13-Jul-54,TEMP,19.23,,1
20-Jul-54,TEMP,18.15,,1
26-Jul-54,TEMP,16,,1
04-Aug-54,TEMP,18,,1
10-Aug-54,TEMP,17.15,,1
18-Aug-54,TEMP,16.08,,1
23-Aug-54,TEMP,13.41,,1
31-Aug-54,TEMP,14.5,,1
07-Sep-54,TEMP,14.58,,1
14-Sep-54,TEMP,13.39,,1
21-Sep-54,TEMP,10.28,,1
24-Sep-54,TEMP,11.7,,1
28-Sep-54,TEMP,11.21,,1
05-Oct-54,TEMP,11.9,,1
12-Oct-54,TEMP,10.92,,1
19-Oct-54,TEMP,12.58,,1
26-Oct-54,TEMP,12.2,,1
02-Nov-54,TEMP,10.1,,1
09-Nov-54,TEMP,8.59,,1
16-Nov-54,TEMP,7,,1
23-Nov-54,TEMP,6.4,,1
07-Dec-54,TEMP,6.5,,1
04-Jan-55,TEMP,5.2,,1
01-Feb-55,TEMP,4.6,,1
08-Feb-55,TEMP,4.8,,1
22-Mar-55,TEMP,4.8,,1
29-Mar-55,TEMP,6,,1
05-Apr-55,TEMP,6.15,,1
13-Apr-55,TEMP,8.98,,1
19-Apr-55,TEMP,11.6,,1
26-Apr-55,TEMP,12.15,,1
03-May-55,TEMP,10.9,,1
10-May-55,TEMP,10.55,,1
17-May-55,TEMP,9.9,,1
24-May-55,TEMP,12.36,,1
31-May-55,TEMP,17.05,,1
07-Jun-55,TEMP,15.9,,1
14-Jun-55,TEMP,14,,1
21-Jun-55,TEMP,16.8,,1
28-Jun-55,TEMP,17.54,,1
05-Jul-55,TEMP,16.96,,1
12-Jul-55,TEMP,22.85,,1
19-Jul-55,TEMP,23.47,,1
26-Jul-55,TEMP,23.57,,1
02-Aug-55,TEMP,23.11,,1
09-Aug-55,TEMP,21.15,,1
16-Aug-55,TEMP,20.48,,1
23-Aug-55,TEMP,21.91,,1
29-Aug-55,TEMP,20.59,,1
06-Sep-55,TEMP,18.8,,1
12-Sep-55,TEMP,16.9,,1
20-Sep-55,TEMP,14.99,,1
27-Sep-55,TEMP,14.2,,1
05-Oct-55,TEMP,13.5,,1
11-Oct-55,TEMP,12.7,,1
18-Oct-55,TEMP,10.75,,1
25-Oct-55,TEMP,9.7,,1
01-Nov-55,TEMP,8,,1
08-Nov-55,TEMP,8.5,,1
15-Nov-55,TEMP,8,,1
22-Nov-55,TEMP,7.3,,1
29-Nov-55,TEMP,6.9,,1
06-Dec-55,TEMP,7,,1
13-Dec-55,TEMP,5.4,,1
20-Dec-55,TEMP,4.1,,1
29-Dec-55,TEMP,5.8,,1
17-Jan-56,TEMP,4.1,,1
24-Jan-56,TEMP,3.5,,1
14-Mar-56,TEMP,5.08,,1
20-Mar-56,TEMP,4.7,,1
27-Mar-56,TEMP,7.68,,1
04-Apr-56,TEMP,7.74,,1
10-Apr-56,TEMP,8.15,,1
17-Apr-56,TEMP,8.15,,1
24-Apr-56,TEMP,10.8,,1
01-May-56,TEMP,10.43,,1
08-May-56,TEMP,11.6,,1
15-May-56,TEMP,12.05,,1
22-May-56,TEMP,14.32,,1
29-May-56,TEMP,17.45,,1
05-Jun-56,TEMP,14.2,,1
19-Jun-56,TEMP,14.75,,1
26-Jun-56,TEMP,18.88,,1
03-Jul-56,TEMP,17.4,,1
10-Jul-56,TEMP,17.68,,1
17-Jul-56,TEMP,18.1,,1
24-Jul-56,TEMP,18.4,,1
31-Jul-56,TEMP,15.9,,1
07-Aug-56,TEMP,16.1,,1
14-Aug-56,TEMP,14,,1
21-Aug-56,TEMP,15,,1
28-Aug-56,TEMP,13.15,,1
04-Sep-56,TEMP,13.1,,1
11-Sep-56,TEMP,13.3,,1
18-Sep-56,TEMP,14.1,,1
25-Sep-56,TEMP,16.4,,1
02-Oct-56,TEMP,13.1,,1
09-Oct-56,TEMP,12,,1
18-Dec-56,TEMP,6,,1
01-Jan-57,TEMP,5,,1
08-Jan-57,TEMP,6.5,,1
15-Jan-57,TEMP,4.8,,1
22-Jan-57,TEMP,6,,1
29-Jan-57,TEMP,5,,1
