sdate,variable,value,sign_if_LT_LOD,flag
06-Aug-90,TEMP,19.9,,1
20-Aug-90,TEMP,15.7,,1
03-Sep-90,TEMP,16.6,,1
17-Sep-90,TEMP,15.7,,1
01-Oct-90,TEMP,11.2,,1
15-Oct-90,TEMP,11.2,,1
29-Oct-90,TEMP,9.2,,1
12-Nov-90,TEMP,7.2,,1
26-Nov-90,TEMP,5.6,,1
10-Dec-90,TEMP,3.3,,1
11-Jan-91,TEMP,2.2,,1
21-Jan-91,TEMP,2,,1
04-Feb-91,TEMP,1.3,,1
18-Feb-91,TEMP,0.7,,1
04-Mar-91,TEMP,3.9,,1
18-Mar-91,TEMP,6.5,,1
10-Apr-91,TEMP,7.1,,1
15-Apr-91,TEMP,8.2,,1
29-Apr-91,TEMP,9.1,,1
13-May-91,TEMP,11.2,,1
27-May-91,TEMP,15.2,,1
10-Jun-91,TEMP,13.2,,1
24-Jun-91,TEMP,13.7,,1
08-Jul-91,TEMP,18.3,,1
22-Jul-91,TEMP,16.8,,1
05-Aug-91,TEMP,17.9,,1
19-Aug-91,TEMP,16.2,,1
02-Sep-91,TEMP,18.9,,1
16-Sep-91,TEMP,16,,1
30-Sep-91,TEMP,11.8,,1
14-Oct-91,TEMP,10.8,,1
28-Oct-91,TEMP,8,,1
11-Nov-91,TEMP,6.5,,1
25-Nov-91,TEMP,4.9,,1
09-Dec-91,TEMP,4.3,,1
06-Jan-92,TEMP,5.8,,1
20-Jan-92,TEMP,4.5,,1
03-Feb-92,TEMP,2.8,,1
17-Feb-92,TEMP,3.8,,1
02-Mar-92,TEMP,4.9,,1
16-Mar-92,TEMP,4.8,,1
30-Mar-92,TEMP,5.6,,1
13-Apr-92,TEMP,6.9,,1
28-Apr-92,TEMP,8.2,,1
11-May-92,TEMP,8.9,,1
25-May-92,TEMP,16.9,,1
08-Jun-92,TEMP,17.4,,1
23-Jun-92,TEMP,18.8,,1
07-Jul-92,TEMP,19.1,,1
20-Jul-92,TEMP,16.2,,1
03-Aug-92,TEMP,15.7,,1
17-Aug-92,TEMP,14.9,,1
14-Sep-92,TEMP,11.9,,1
28-Sep-92,TEMP,13,,1
12-Oct-92,TEMP,11.1,,1
26-Oct-92,TEMP,7.3,,1
09-Nov-92,TEMP,7.7,,1
07-Dec-92,TEMP,5.2,,1
21-Dec-92,TEMP,4.5,,1
18-Jan-93,TEMP,4.8,,1
29-Jan-93,TEMP,4.4,,1
15-Feb-93,TEMP,5.2,,1
