sdate,variable,value,sign_if_LT_LOD,flag
19-Jun-68,TEMP,20.8,,1
11-Jul-68,TEMP,16,,1
31-Jul-68,TEMP,17.7,,1
07-Aug-68,TEMP,17.6,,1
14-Aug-68,TEMP,17.6,,1
22-Aug-68,TEMP,16.1,,1
30-Aug-68,TEMP,17,,1
06-Sep-68,TEMP,15.7,,1
12-Sep-68,TEMP,16.3,,1
18-Sep-68,TEMP,14.3,,1
26-Sep-68,TEMP,12.8,,1
04-Oct-68,TEMP,12.6,,1
10-Oct-68,TEMP,11.9,,1
18-Oct-68,TEMP,10.2,,1
25-Oct-68,TEMP,10.8,,1
29-Oct-68,TEMP,10.9,,1
08-Nov-68,TEMP,7.3,,1
11-Feb-69,TEMP,2.81,,1
25-Feb-69,TEMP,2.65,,1
04-Mar-69,TEMP,2.672,,1
11-Mar-69,TEMP,3.156,,1
18-Mar-69,TEMP,3.132,,1
25-Mar-69,TEMP,3.5,,1
01-Apr-69,TEMP,4.25,,1
08-Apr-69,TEMP,7.25,,1
15-Apr-69,TEMP,6.35,,1
22-Apr-69,TEMP,7.125,,1
29-Apr-69,TEMP,8.37,,1
06-May-69,TEMP,10.2,,1
13-May-69,TEMP,10.792,,1
20-May-69,TEMP,11.763,,1
27-May-69,TEMP,13.212,,1
03-Jun-69,TEMP,13.95,,1
10-Jun-69,TEMP,17.94,,1
17-Jun-69,TEMP,18.35,,1
24-Jun-69,TEMP,14.85,,1
01-Jul-69,TEMP,16.03,,1
08-Jul-69,TEMP,15.49,,1
15-Jul-69,TEMP,19.43,,1
22-Jul-69,TEMP,17.29,,1
29-Jul-69,TEMP,17.06,,1
05-Aug-69,TEMP,17.94,,1
12-Aug-69,TEMP,19.94,,1
19-Aug-69,TEMP,19.31,,1
26-Aug-69,TEMP,15.75,,1
02-Sep-69,TEMP,15.94,,1
09-Sep-69,TEMP,16.98,,1
16-Sep-69,TEMP,14.95,,1
23-Sep-69,TEMP,13.72,,1
30-Sep-69,TEMP,11.89,,1
07-Oct-69,TEMP,12.39,,1
14-Oct-69,TEMP,12.59,,1
21-Oct-69,TEMP,12.47,,1
28-Oct-69,TEMP,11.6,,1
04-Nov-69,TEMP,10.63,,1
11-Nov-69,TEMP,7.768,,1
18-Nov-69,TEMP,5.8,,1
25-Nov-69,TEMP,5.05,,1
02-Dec-69,TEMP,3.85,,1
09-Dec-69,TEMP,3.4,,1
16-Dec-69,TEMP,3.475,,1
20-Jan-70,TEMP,3.65,,1
27-Jan-70,TEMP,4.758,,1
10-Feb-70,TEMP,3.276,,1
24-Feb-70,TEMP,3.35,,1
03-Mar-70,TEMP,3.325,,1
10-Mar-70,TEMP,3.084,,1
17-Mar-70,TEMP,3.75,,1
24-Mar-70,TEMP,4.772,,1
31-Mar-70,TEMP,4.825,,1
07-Apr-70,TEMP,4.772,,1
14-Apr-70,TEMP,5.35,,1
21-Apr-70,TEMP,7.1,,1
28-Apr-70,TEMP,7.404,,1
05-May-70,TEMP,9.68,,1
12-May-70,TEMP,12.23,,1
19-May-70,TEMP,15.46,,1
26-May-70,TEMP,13.26,,1
02-Jun-70,TEMP,14.15,,1
09-Jun-70,TEMP,18.49,,1
16-Jun-70,TEMP,19.78,,1
23-Jun-70,TEMP,19.08,,1
30-Jun-70,TEMP,16.12,,1
07-Jul-70,TEMP,14.53,,1
14-Jul-70,TEMP,14.12,,1
21-Jul-70,TEMP,15.03,,1
28-Jul-70,TEMP,13.87,,1
04-Aug-70,TEMP,17.57,,1
11-Aug-70,TEMP,17.8,,1
18-Aug-70,TEMP,13.92,,1
25-Aug-70,TEMP,14.9,,1
01-Sep-70,TEMP,14.39,,1
08-Sep-70,TEMP,13.72,,1
15-Sep-70,TEMP,11.84,,1
22-Sep-70,TEMP,13.38,,1
29-Sep-70,TEMP,14.47,,1
05-Oct-70,TEMP,11.2,,1
12-Oct-70,TEMP,10.74,,1
21-Oct-70,TEMP,9.25,,1
26-Oct-70,TEMP,9.325,,1
02-Nov-70,TEMP,9.375,,1
11-Nov-70,TEMP,7.95,,1
16-Nov-70,TEMP,6.65,,1
23-Nov-70,TEMP,5.775,,1
07-Dec-70,TEMP,6.5,,1
18-Jan-71,TEMP,4.5,,1
01-Feb-71,TEMP,4.5,,1
15-Feb-71,TEMP,4.7,,1
01-Mar-71,TEMP,4.6,,1
15-Mar-71,TEMP,4.7,,1
29-Mar-71,TEMP,5.7,,1
19-Apr-71,TEMP,8.6,,1
03-May-71,TEMP,10.65,,1
17-May-71,TEMP,13.5,,1
24-May-71,TEMP,14.1,,1
07-Jun-71,TEMP,15.1,,1
21-Jun-71,TEMP,14.1,,1
05-Jul-71,TEMP,17.2,,1
21-Jul-71,TEMP,18.17,,1
02-Aug-71,TEMP,17.66,,1
16-Aug-71,TEMP,14.17,,1
06-Sep-71,TEMP,14.73,,1
20-Sep-71,TEMP,15.6,,1
04-Oct-71,TEMP,14.35,,1
20-Oct-71,TEMP,9.93,,1
01-Nov-71,TEMP,9.74,,1
15-Nov-71,TEMP,7.22,,1
29-Nov-71,TEMP,4.7,,1
28-Mar-72,TEMP,5.44,,1
04-Apr-72,TEMP,6.192,,1
11-Apr-72,TEMP,6.825,,1
18-Apr-72,TEMP,8.025,,1
25-Apr-72,TEMP,9.02,,1
02-May-72,TEMP,9.37,,1
09-May-72,TEMP,9.52,,1
16-May-72,TEMP,9.79,,1
23-May-72,TEMP,12.32,,1
30-May-72,TEMP,9.58,,1
06-Jun-72,TEMP,11.28,,1
13-Jun-72,TEMP,12.09,,1
20-Jun-72,TEMP,12.01,,1
27-Jun-72,TEMP,11.95,,1
04-Jul-72,TEMP,14.52,,1
11-Jul-72,TEMP,13.39,,1
18-Jul-72,TEMP,19.56,,1
25-Jul-72,TEMP,18.45,,1
01-Aug-72,TEMP,18.23,,1
08-Aug-72,TEMP,15.84,,1
15-Aug-72,TEMP,16.81,,1
22-Aug-72,TEMP,16.4,,1
29-Aug-72,TEMP,16.7,,1
05-Sep-72,TEMP,16.73,,1
12-Sep-72,TEMP,14.55,,1
19-Sep-72,TEMP,13.99,,1
26-Sep-72,TEMP,13.74,,1
03-Oct-72,TEMP,12.6,,1
10-Oct-72,TEMP,12.54,,1
17-Oct-72,TEMP,11.9,,1
02-Nov-72,TEMP,9.75,,1
07-Nov-72,TEMP,9.38,,1
14-Nov-72,TEMP,6.59,,1
21-Nov-72,TEMP,4.55,,1
27-Nov-72,TEMP,4,,1
